F1,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.33689,0.33796,0.40331,0.42046,0.39191,0.38852,0.39425,6.7549,1.3477,13.497,0.40888
0.33955,0.33914,0.41074,0.4101,0.39142,0.38696,0.40257,6.3369,1.4322,13.64,0.4682
0.33683,0.33398,0.39514,0.40931,0.38402,0.39727,0.40002,6.3771,1.324,13.536,0.46096
0.3564,0.35926,0.41055,0.40657,0.39066,0.39184,0.40315,6.3687,1.3234,13.533,0.45232
0.33857,0.34472,0.39987,0.41921,0.39953,0.41769,0.42976,6.4445,1.4068,13.864,0.457
0.34467,0.34633,0.41142,0.41246,0.40807,0.3974,0.40726,6.4815,1.3317,13.655,0.45459
0.33201,0.33261,0.37744,0.4053,0.42883,0.38015,0.38628,6.4265,1.3484,13.531,0.46408
0.36029,0.35924,0.42084,0.40312,0.40793,0.38942,0.41409,6.3683,1.3494,13.785,0.45317
0.33193,0.34587,0.39716,0.42605,0.38577,0.3859,0.40859,6.4018,1.3737,13.681,0.47605
0.36274,0.36941,0.4245,0.39742,0.39948,0.3909,0.40657,6.4569,1.3345,13.594,0.45268
0.36101,0.37013,0.39427,0.42049,0.43617,0.39492,0.43778,6.4461,1.3413,13.546,0.45796
0.33141,0.3544,0.38668,0.3762,0.40537,0.39969,0.40081,6.395,1.4212,13.621,0.4527
0.33277,0.34597,0.40279,0.42825,0.39095,0.40049,0.40061,6.3945,1.3828,13.541,0.4567
0.35757,0.35111,0.42051,0.40077,0.39109,0.38574,0.39752,6.4147,1.3573,13.486,0.47378
0.34793,0.36394,0.40679,0.40907,0.38445,0.38141,0.40384,6.3986,1.3351,13.577,0.45354
0.33136,0.33982,0.3918,0.41478,0.39907,0.39778,0.40832,6.4101,1.3288,13.509,0.49412
0.32874,0.36435,0.39523,0.37845,0.3971,0.39114,0.39905,6.4828,1.3403,13.506,0.52187
,,,,,,,,,,
0.342739,0.3511585,0.4052715,0.4064865,0.3990655,0.3949015,0.405815,6.43506,1.35584,13.59435,0.4608835
F8,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.17402,0.17062,0.19863,0.28852,0.40486,0.37487,0.4728,6.5035,1.2752,11.761,0.3102
0.1748,0.17718,0.22018,0.19452,0.22163,0.23136,0.31343,6.3984,1.2592,11.702,0.34457
0.18061,0.17899,0.19934,0.20225,0.31367,0.29072,0.27765,6.4402,1.2765,11.635,0.31223
0.19889,0.18842,0.21056,0.21175,0.26195,0.26228,0.26586,6.4363,1.2744,11.645,0.32336
0.19421,0.18863,0.20831,0.19992,0.2442,0.25396,0.25832,6.3668,1.2766,11.789,0.31504
0.17907,0.17962,0.2008,0.2033,0.2288,0.22921,0.26582,6.3591,1.3251,11.754,0.33804
0.17171,0.17366,0.20446,0.20402,0.20858,0.23939,0.27532,6.4463,1.27,11.741,0.30947
0.18299,0.18432,0.20638,0.2004,0.22201,0.23386,0.26561,6.3773,1.2669,11.785,0.3191
0.1925,0.18065,0.20604,0.20154,0.2548,0.25108,0.26528,6.3883,1.2905,11.644,0.3095
0.1795,0.1781,0.19805,0.20114,0.24483,0.26892,0.27699,6.4124,1.2769,11.676,0.31337
0.178,0.17774,0.22816,0.21639,0.2091,0.22038,0.26387,6.4867,1.2988,11.763,0.32979
0.17419,0.17539,0.19301,0.20345,0.23658,0.23025,0.26252,6.4213,1.2695,11.723,0.26769
0.18121,0.18287,0.20481,0.20843,0.25907,0.25881,0.27032,6.4515,1.2674,11.626,0.32056
0.19304,0.19088,0.22051,0.20197,0.21029,0.24455,0.25834,6.519,1.3239,11.65,0.32571
0.18955,0.18945,0.20867,0.20947,0.21683,0.21751,0.26135,6.7096,1.2875,11.782,0.31584
0.17278,0.17361,0.19749,0.19413,0.23255,0.23243,0.26003,6.4275,1.3213,11.697,0.30574
0.16791,0.1718,0.20426,0.2028,0.20585,0.22302,0.26462,6.4741,1.2952,11.761,0.32123
0.17441,0.18632,0.2061,0.18756,0.22939,0.22068,0.2821,6.3463,1.2717,11.643,0.35143
0.1662,0.1691,0.20578,0.208,0.25779,0.20335,0.25912,6.3949,1.2674,11.724,0.32297
0.19855,0.18528,0.20629,0.23228,0.25978,0.25627,0.25781,6.4912,1.2881,11.865,0.31469
,,,,,,,,,,
0.181207,0.1801315,0.2063915,0.208592,0.246128,0.247145,0.278858,6.442535,1.284105,11.7183,0.3185265
F9,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.13434,0.12869,0.16532,0.14533,0.15793,0.14817,0.20853,6.3727,1.2159,11.326,0.28703
0.12973,0.13291,0.15311,0.14346,0.14509,0.14701,0.17664,6.2145,1.1996,11.302,0.33123
0.13322,0.12532,0.16038,0.13803,0.15456,0.16454,0.16875,6.2149,1.2134,11.714,0.3586
0.15007,0.14188,0.16522,0.15577,0.16611,0.15651,0.16932,6.6563,1.213,11.266,0.28481
0.14691,0.13889,0.16232,0.14952,0.15391,0.1456,0.16268,6.2783,1.2174,11.346,0.30148
0.14049,0.13675,0.16021,0.14108,0.15171,0.14887,0.15801,6.3924,1.2631,11.179,0.33754
0.13568,0.12889,0.15959,0.14093,0.16003,0.17698,0.16102,6.3211,1.219,11.194,0.28482
0.14426,0.15102,0.16139,0.13611,0.15241,0.14811,0.15757,6.2882,1.2117,11.332,0.31766
0.13261,0.13275,0.1501,0.13597,0.15804,0.16216,0.16715,6.263,1.2265,11.415,0.25476
